doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,condition,sequence
0,01.03.22 06:00,Just experienced the most incredible sunrise at El Capitan in Yosemite. Nature's majesty at its finest! #Yosemite #NatureLovers,https://images.unsplash.com/photo-1472396961693-142e6e269027?q=80&w=1552&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Sunset illuminates Half Dome in Yosemite National Park,,,,,,,,,,,,,
1,22.03.22 06:00,Yosemite National Park's beauty is unmatched. From the towering sequoias to the pristine streams,,,,,,,,,,,,,,,
2,22.03.22 08:30,Spent the week in Yosemite and I'm already planning my next trip back! The trails and views are absolutely breathtaking. #Hiking #Yosemite,https://images.unsplash.com/photo-1470074558764-4e577e98bc85?q=80&w=1665&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,A map of Yosemite National Park spread out with a compass,,,,,,,,,,,,,
3,22.03.22 06:00,Encountered some of the most diverse wildlife at Yosemite. A truly enriching experience that everyone should have! #Wildlife #Yosemite,https://images.unsplash.com/photo-1517207183164-81b02358639f?q=80&w=3870&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,A coyote treading carefully through a snowy landscape in Yosemite,,,,,,,,,,,,,
4,24.03.22 06:00,The waterfalls in Yosemite are spectacular after the spring thaw. The mist and the roar are simply out of this world! #Nature #YosemiteFalls,https://images.unsplash.com/photo-1556595015-dda91ab57740?q=80&w=1803&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,A view of a waterfall cascading down a sheer cliff face in Yosemite National Park,,,,,,,,,,,,,
5,26.03.22 06:00,Disappointed with the overcrowding at Yosemite. Couldn't enjoy the views with the throngs of tourists. #Yosemite #Overcrowded,https://images.unsplash.com/photo-1517419455681-74fdb65819c4?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,A group of children and adults gathered around a campfire in an outdoor setting,,,,,,,,,,,,,
6,27.03.22 06:00,Sadly,,,,,,,,,,,,,,,
7,27.03.22 06:05,Encountered too much litter during my hike at Yosemite. It's heartbreaking to see such negligence. #Environment #Yosemite,https://images.unsplash.com/photo-1625244514957-a8cdb2b7df0a?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,A sign in a lush forest with the message: Please Take Nothing But Pictures Leave Nothing But Footprints. Written in bold white letters on a brown background,,,,,,,,,,,,,
8,28.03.22 09:00,The park management needs to improve. Facilities at Yosemite were not up to the mark,,,,,,,,,,,,,,,
9,28.03.22 08:30,Yosemite's recent restrictions have dampened the adventure spirit. Miss the old days of unrestricted exploration. #Yosemite #Restrictions,https://images.unsplash.com/photo-1686899902271-81a8424295f5?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,A paved road leads through a snowy landscape in Yosemite,,,,,,,,,,,,,
